Feature,Cluster_A,Cluster_B,N_A,N_B,Median_A,Median_B,U_Statistic,Raw_P_Value,Rank_Biserial,Abs_Rank_Biserial,Holm_Adjusted_P,Significant_Holm
NumCatalogPurchases,0,1,635,390,5.0,3.0,189116.0,2.182047976469266e-46,0.5272844740561276,0.5272844740561276,1.7456383811754127e-45,True
NumCatalogPurchases,0,2,635,1162,5.0,1.0,713833.0,1.7237330423761095e-247,0.9348476018810901,0.9348476018810901,1.7237330423761095e-246,True
NumCatalogPurchases,0,3,635,30,5.0,4.5,10055.5,0.6034919757078949,0.055695538057742855,0.055695538057742855,0.6034919757078949,False
NumCatalogPurchases,0,4,635,20,5.0,0.5,10500.0,5.267903005941176e-07,0.6535433070866141,0.6535433070866141,3.160741803564706e-06,True
NumCatalogPurchases,1,2,390,1162,3.0,1.0,402355.0,4.935310500382216e-127,0.775696191358842,0.775696191358842,4.441779450343995e-126,True
NumCatalogPurchases,1,3,390,30,3.0,4.5,3260.0,3.983146196003436e-05,-0.4427350427350427,0.4427350427350427,0.00019915730980017178,True
NumCatalogPurchases,1,4,390,20,3.0,0.5,5446.5,0.0023432155817939768,0.3965384615384615,0.3965384615384615,0.00702964674538193,True
NumCatalogPurchases,2,3,1162,30,1.0,4.5,2632.0,5.717965820703861e-18,-0.8489959839357429,0.8489959839357429,4.002576074492703e-17,True
NumCatalogPurchases,2,4,1162,20,1.0,0.5,9682.5,0.16206829556813218,-0.16673838209982783,0.16673838209982783,0.32413659113626436,False
NumCatalogPurchases,3,4,30,20,4.5,0.5,476.0,0.0004426736202411696,0.5866666666666667,0.5866666666666667,0.0017706944809646784,True
NumStorePurchases,0,1,635,390,8.0,8.0,133645.0,0.03192324638299105,0.07930547143145561,0.07930547143145561,0.1276929855319642,False
NumStorePurchases,0,2,635,1162,8.0,3.0,693204.5,2.2240930128438852e-214,0.8789339585563853,0.8789339585563853,2.2240930128438854e-213,True
NumStorePurchases,0,3,635,30,8.0,8.0,9972.0,0.6624595652746532,0.0469291338582678,0.0469291338582678,1.0,False
NumStorePurchases,0,4,635,20,8.0,3.5,9703.5,5.2399476372333694e-05,0.5281102362204724,0.5281102362204724,0.0003667963346063359,True
NumStorePurchases,1,2,390,1162,8.0,3.0,420516.0,3.857601769417185e-147,0.8558453594598172,0.8558453594598172,3.471841592475467e-146,True
NumStorePurchases,1,3,390,30,8.0,8.0,5684.5,0.7956458093057464,-0.028290598290598323,0.028290598290598323,1.0,False
NumStorePurchases,1,4,390,20,8.0,3.5,5783.0,0.0002503306979354952,0.48282051282051275,0.48282051282051275,0.0015019841876129712,True
NumStorePurchases,2,3,1162,30,3.0,8.0,3604.0,9.78500527653996e-15,-0.7932300631095812,0.7932300631095812,7.828004221231968e-14,True
NumStorePurchases,2,4,1162,20,3.0,3.5,8956.0,0.06599302735693989,-0.2292598967297762,0.2292598967297762,0.19797908207081966,False
NumStorePurchases,3,4,30,20,8.0,3.5,443.0,0.0045116472409381285,0.47666666666666657,0.47666666666666657,0.022558236204690642,True
NumWebVisitsMonth,0,1,635,390,3.0,6.0,54851.0,1.2758459450900677e-51,-0.5570280637997174,0.5570280637997174,1.1482613505810608e-50,True
NumWebVisitsMonth,0,2,635,1162,3.0,7.0,102051.0,1.6375186963293852e-144,-0.7233902991041783,0.7233902991041783,1.6375186963293853e-143,True
NumWebVisitsMonth,0,3,635,30,3.0,5.5,5113.0,1.3525852203156325e-05,-0.4632020997375328,0.4632020997375328,8.115511321893795e-05,True
NumWebVisitsMonth,0,4,635,20,3.0,7.0,2682.0,8.011322204620006e-06,-0.5776377952755906,0.5776377952755906,5.6079255432340043e-05,True
NumWebVisitsMonth,1,2,390,1162,6.0,7.0,164535.0,1.9326817118317953e-16,-0.2738646895273401,0.2738646895273401,1.5461453694654362e-15,True
NumWebVisitsMonth,1,3,390,30,6.0,5.5,6106.0,0.6866700356187565,0.04376068376068387,0.04376068376068387,1.0,False
NumWebVisitsMonth,1,4,390,20,6.0,7.0,3268.0,0.2165178565243624,-0.16205128205128205,0.16205128205128205,0.8660714260974496,False
NumWebVisitsMonth,2,3,1162,30,7.0,5.5,22501.0,0.0055791774732738665,0.29093516924842233,0.29093516924842233,0.027895887366369332,True
NumWebVisitsMonth,2,4,1162,20,7.0,7.0,12414.0,0.5936262174389233,0.06833046471600679,0.06833046471600679,1.0,False
NumWebVisitsMonth,3,4,30,20,5.5,7.0,242.0,0.24905527455300092,-0.19333333333333336,0.19333333333333336,0.8660714260974496,False
PreviousCampaignAcceptances,0,1,635,390,0.0,0.0,133155.0,0.012671227365820081,0.07534827377347053,0.07534827377347053,0.050684909463280324,False
PreviousCampaignAcceptances,0,2,635,1162,0.0,0.0,459670.0,3.2417298162790393e-38,0.24593763129006474,0.24593763129006474,2.917556834651135e-37,True
PreviousCampaignAcceptances,0,3,635,30,0.0,3.0,885.5,8.582427721957557e-23,-0.9070341207349082,0.9070341207349082,6.00769940537029e-22,True
PreviousCampaignAcceptances,0,4,635,20,0.0,0.0,7811.0,0.033875076423832015,0.23007874015748042,0.23007874015748042,0.10162522927149605,False
PreviousCampaignAcceptances,1,2,390,1162,0.0,0.0,268024.5,3.7180276466865223e-19,0.18286111478882572,0.18286111478882572,2.2308165880119133e-18,True
PreviousCampaignAcceptances,1,3,390,30,0.0,3.0,185.5,1.2977483318287928e-26,-0.9682905982905983,0.9682905982905983,1.0381986654630342e-25,True
PreviousCampaignAcceptances,1,4,390,20,0.0,0.0,4550.5,0.10317320624924763,0.16679487179487174,0.16679487179487174,0.20634641249849525,False
PreviousCampaignAcceptances,2,3,1162,30,0.0,3.0,62.0,1.4950230768387182e-61,-0.9964429145152037,0.9964429145152037,1.495023076838718e-60,True
PreviousCampaignAcceptances,2,4,1162,20,0.0,0.0,11532.5,0.91085037861347,-0.0075301204819276935,0.0075301204819276935,0.91085037861347,False
PreviousCampaignAcceptances,3,4,30,20,3.0,0.0,593.5,1.719485859963991e-09,0.9783333333333333,0.9783333333333333,8.597429299819955e-09,True
